NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1708	252	ask; question	问	1309	ASK (INQUIRE)	1309	ASK (INQUIRE)	2
1715	252	be blind	瞎	1653	BLIND	1653	BLIND	2
1718	252	lay (eggs)	下（蛋）	2464	LAY EGGS	374	ONE TIME	4
1719	253	(rain) fall	下（雨）	2234	FALL (OF SNOW AND RAIN)	1253	RAIN (RAINING)	2
1726	253	think	想	2271	THINK	1415	THINK (REFLECT)	2
1733	253	pare/peel with a knife	削		PEEL	275	PEEL	4
1735	253	laugh	笑	1355	LAUGH	1355	LAUGH	2
1740	253	to rest	休息			168	REST	2
1741	253	embroider	绣				???	
1742	253	study, learn	学	1929	STUDY	2
1745	253	press, push down	压	1913	PRESS	2
1746	253	[castrate (chicken)]	阉（鸡）			2563	CASTRATE	4
1749	253	to itch/tickle	痒	148	ITCH	149	ITCHY	2
1754	253	scoop up (water); ladle out	舀（水）	2788	LADLE (WATER)	2788	LADLE (WATER)	4
1755	253	want; need	要	1784	WANT	1784	WANT	2
1764	253	have (you)	有（钱）	773	HAVE	773	HAVE	4
1793	253	(wasps) sting	蜇（马蜂）	571	STING	571	STING	4
1797	253	steam	蒸	1193	STEAM	1193	STEAM	2
1799	253	weave; knit	织	2905	KNIT	2905	KNIT	2
1802	253	swell	肿	1573	SWELL	1573	SWELL	2
1803	253	use or lean on (a walking stick)	拄	2072	USE (VERB)		???	
1804	253	cook; boil	煮	1100	COOK (SOMETHING)	792	BOIL (OF LIQUID)	2
1806	253	turn around	转（身）	1444	TURN AROUND	1444	TURN AROUND	2
1813	253	catch; capture	捉	702	CATCH	702	CATCH	2
1819	253	sit	坐	1416	SIT	1416	SIT	2
1823	253	[loach]	泥鳅				???	
1829	253	leg	腿	1297	LEG	1297	LEG	2
1852	253	bark	树皮	1204	BARK	1204	BARK	2
1858	253	jar	甄子	1462	POT		???	
1863	253	price	价	657	PRICE		???	
2073	253	[cow louse]	牛虱				???	
2075	253	[ethanol]	酒精				???	
2086	253	bamboo piece	蔑				???	
2105	253	paint	漆	647	PAINT (PIGMENTS)	2
2109	253	stomach [bird crop]	嗉子				???	
2118	253	eagle fern	蕨菜				???	
2121	253	[pull up weeds]	蒿草				???	
2124	253	(xx language) 	语言	1307	LANGUAGE	2
