ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
293	n	1	a	Ø	a	æ	a	a	Ø	Ø	Ø	Ø	723:2
294	t	1	¹	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	Ø	Ø	Ø	723:3
295	i	1	Ø	Ø	l	l	l	l	Ø	Ø	l	Ø	724:0
296	n	1	Ø	Ø	o	o	ao	o	Ø	Ø	ɔ	Ø	724:1
297	t	1	Ø	Ø	²¹	²¹	²¹	²¹	Ø	Ø	³⁵	Ø	724:2
298	n	1	Ø	Ø	Ø	Ø	Ø	Ø	ɑ̃	a	Ø	a	725:0
299	t	1	Ø	Ø	Ø	Ø	Ø	Ø	⁰	⁵⁵	Ø	⁵⁵	725:1
300	i	1	Ø	n	Ø	Ø	Ø	Ø	n	n	Ø	Ø	722:0
301	n	1	Ø	i	Ø	Ø	Ø	Ø	i	i	Ø	Ø	722:1
302	t	1	Ø	⁵⁵	Ø	Ø	Ø	Ø	⁵⁵	⁵⁵	Ø	Ø	722:2
303	i	1	k	k	k	k	k	k	k	k	Ø	k	742:0
304	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	Ø	ɛ	742:1
305	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	Ø	⁴⁴	742:2
306	i	1	ŋ	ŋ	ŋ	ŋ	ŋ	Ø	ŋ	ŋ	ŋ	ŋ	752:0
307	n	1	ɯ	ə	ɯ	ɯ	e	Ø	ə	əɯ	e	ɯ	752:1
308	t	1	1b/¹	²¹	²¹	²¹	¹²	Ø	²¹	²¹	³⁵	²¹	752:2
309	i	1	tʰ	ʈʂ	q	tʰ	tsʰ	ʈ	tsʰ	tsʰ	tʰ	tsʰ	763:0
310	m	1	r	-	-	i/j	-	-	-	-	i/j	-	763:1
311	n	1	o	o	a	o	o	õ	õ	o	o	o	763:2
312	c	1	ŋ	ŋ	-	-	ŋ	-	-	ŋ	ŋ	-	763:3
313	t	1	¹	⁵⁵	⁴⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	763:4
314	i	1	p	p	p	p	tɕ	p	p	p	tɕ	p	775:0
315	m	1	r	i/j	-	-	y/ɥ	-	i/j	i/j	y/ɥ	-	775:1
316	n	1	e	e	ɛ	ᴇ/ɛ	e	e	e	ɛ	e	i	775:2
317	c	1	n	n	-	-	n	-	n	-	n	-	775:3
318	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	775:4
319	i	1	q	k	q	q	q	q	k	k	q	k	786:0
320	n	1	ɛ	e	ɛ	ᴇ/ɛ	ɛ	ɛ̃	i	e	ɛ	e	786:1
321	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	786:2
322	i	1	dz	ts	ts	ts	dz	ts	ts	tsʰ	z	ts	798:0
323	n	1	o	i	y	u	u	v/ʯ	ou	o	u	u	798:1
324	t	1	⁴	³³	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	798:2
325	i	1	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	Ø	pʰ	pʰ	809:0
326	n	1	ɔ	ou	o	o	a	o	ou	Ø	ɔ	o	809:1
327	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	Ø	²¹	⁴²	809:2
328	i	1	ɖʐ	ʈʂ	tɕ	ɖʐ	ɖʐ	tɕ	ts	ts	ʐ	ts	820:0
329	m	1	-	-	i	-	-	i	-	-	-	-	820:1
330	n	1	o	o	u	o	ao	u	ṽ/ʯ̃	əɯ	v/ʯ	v/ʯ	820:2
331	t	1	³	³¹	⁴²	⁴²	⁴²	⁴²	⁴²	²¹	²¹	³¹	820:3
332	i	1	b	-	Ø	I/j	I/j	Ø	Ø	b	v	Ø	831:0
333	m	1	j	j	Ø	-	-	Ø	Ø	-	-	Ø	831:1
334	n	1	o	ɚ/ə	Ø	æ	æ	Ø	Ø	i	ɚ/ə	Ø	831:2
335	c	1	-	-	Ø	-	n	Ø	Ø	-	-	Ø	831:3
336	t	1	²	⁴²	Ø	⁴³	⁴²	Ø	Ø	³³	³³	Ø	831:4
337	i	1	d	t	tɕ	d	d	ʈ	t	t	d	t	839:0
338	m	1	j	i	-	i/j	-	-	-	-	i/j	-	839:1
339	n	1	ɯ	ə	i	ɯ	i	ɯ	ə	əɯ	ɯ	ɯ	839:2
340	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	839:3
341	i	1	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	Ø	kʰ	kʰ	853:0
342	n	1	o	o	o	o	o	õ	õ	Ø	o	ou	853:1
343	c	1	ŋ	ŋ	-	-	ŋ	-	-	Ø	ŋ	-	853:2
344	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	853:3
345	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	863:0
346	m	1	-	-	-	-	-	-	-	-	-	u/w	863:1
347	n	1	ɔ	u	o	o	o	o	ou	o	ɔ	o	863:2
348	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	863:3
349	i	1	tsʰ	tsʰ	q	q	dʑ	q	tsʰ	k	tsʰ	Ø	874:0
350	m	1	u/w	u/w	-	-	-	-	u	-	u/w	Ø	874:1
351	n	1	a	a	ɛ	ᴇ/ɛ	ɛ	ẽ	ɑ	eɯ	o	Ø	874:2
352	t	1	⁴	³³	⁵⁵	²⁴	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	Ø	874:3
353	i	1	z	Ø	z	z	z	z	Ø	-	z	Ø	886:0
354	m	1	-	Ø	-	-	i/j	-	Ø	j	-	Ø	886:1
355	n	1	e	Ø	ɛ	ɿ	e	ẽ	Ø	e	i	Ø	886:2
356	c	1	n	Ø	-	-	n	-	Ø	n	-	Ø	886:3
357	t	1	¹	Ø	²¹	²¹	¹²	²¹	Ø	²¹	³⁵	Ø	886:4
358	i	1	Ø	pʰ	Ø	Ø	Ø	Ø	pʰ	Ø	Ø	pʰ	885:0
359	n	1	Ø	a	Ø	Ø	Ø	Ø	a	Ø	Ø	e	885:1
360	t	1	Ø	²¹	Ø	Ø	Ø	Ø	³¹	Ø	Ø	²¹	885:2
361	i	1	q	k	q	q	q	q	k	k	q	k	896:0
362	n	1	æ	ɚ/ə	a	æ	a	o	ɛ̃	ɚ/ə̃	a	ɛ	896:1
363	c	1	n	-	-	-	n	-	-	-	ŋ	-	896:2
364	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	896:3
365	i	1	n	Ø	n	n	n	n	Ø	n	n	ɲ	907:0
366	n	1	o	Ø	õ	o	õ	õ	Ø	o	o	o	907:1
367	c	1	ŋ	Ø	-	-	-	-	Ø	ŋ	ŋ	-	907:2
368	t	1	1b/¹	Ø	²¹	²¹	¹²	²¹	Ø	²¹	³⁵	²¹	907:3
369	i	1	ʈ	ʈʂ	s	t	ts	ʈ	ts	ts	t	ts	916:0
370	m	1	-	-	-	i/j	-	-	-	-	i/j	-	916:1
371	n	1	o	õ	y	o	o	õ	õ	o	o	ou	916:2
372	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	-	916:3
373	t	1	¹	-	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	916:4
374	i	1	d	ʈʂ	dʑ	d	ɖʐ	ɖ	ts	dz	d	ts	929:0
375	m	1	r	-	-	i/j	-	-	-	-	i/j	-	929:1
376	n	1	ɯ	ɯ	i	ɯ	i	ɯ	ɯ	əɯ	ɯ	ɯ	929:2
377	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	929:3
378	i	1	n	Ø	n	n	ɲ	n	Ø	n	Ø	ɲ	940:0
379	n	1	o	Ø	õ	o	o	õ	Ø	o	Ø	o	940:1
380	c	1	ŋ	Ø	-	-	-	-	Ø	ŋ	Ø	-	940:2
381	t	1	³	Ø	⁴²	⁴²	⁴³	⁴²	Ø	²¹	Ø	²¹	940:3
382	i	1	pʰ	pʰ	Ø	pʰ	Ø	Ø	pʰ	Ø	Ø	pʰ	3824:0
383	m	1	r	i/j	Ø	i/j	Ø	Ø	i/j	Ø	Ø	i/j	3824:1
384	n	1	æ	ɚ/ə	Ø	æ	Ø	Ø	ɛ	Ø	Ø	ɛ	3824:2
385	t	1	¹	⁵⁵	Ø	²⁴	Ø	Ø	⁵⁵	Ø	Ø	⁵⁵	3824:3
386	i	1	m	m	Ø	m	m	m	m	m	m	m	971:0
387	n	1	e	e	Ø	i	i	i	e	i	i	e	971:1
388	t	1	1a/¹	³⁵	Ø	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	971:2
389	i	1	sʰ	sʰ	s	s	s	s	s	Ø	s	Ø	979:0
390	n	1	ɛ	e	ɛ	ᴇ/ɛ	ɛ	e	e	Ø	ɛ	Ø	979:1
391	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	Ø	⁴²	Ø	979:2
392	i	1	ŋ	Ø	Ø	Ø	ŋ	Ø	Ø	Ø	ŋ	Ø	993:0
393	n	1	ɔ	Ø	Ø	Ø	ᴇ/ɛ	Ø	Ø	Ø	ɔ	Ø	993:1
394	t	1	1b/¹	Ø	Ø	Ø	¹²	Ø	Ø	Ø	³⁵	Ø	993:2
395	i	1	k	k	k	k	g	k	k	k	k	k	1001:0
396	n	1	ɯ	ɯ	ɯ	ɯ	a	ɯ	ɯ	ɯ	ɯ	ɯ	1001:1
397	t	1	¹	⁰	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1001:2
398	i	1	Ø	Ø	Ø	Ø	ɲ	Ø	k	ɲ	Ø	ɲ	5250:0
399	n	1	Ø	Ø	Ø	Ø	õ	Ø	ɑ	o	Ø	i	5250:1
400	c	1	Ø	Ø	Ø	Ø	-	Ø	-	ŋ	Ø	v	5250:2
401	t	1	Ø	Ø	Ø	Ø	²²	Ø	²¹	³³	Ø	³³	5250:3
402	i	1	s	ʂ	ɕ	ɕ	s	ɕ	s	s	ʂ	s	1015:0
403	m	1	r	-	-	-	-	-	-	-	-	-	1015:1
404	n	1	o	*/ə	y	u	ao	u	ṽ/ʯ̃	u	v/ʯ	v/ʯ	1015:2
405	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1015:3
406	i	1	b	p	Ø	p	b	Ø	p	Ø	b	pʰ	1026:0
407	n	1	æ	ɚ/ə	Ø	æ	æ	Ø	a	Ø	a	ə	1026:1
408	t	1	¹	²¹	Ø	²¹	¹²	Ø	²¹	Ø	³⁵	⁴²	1026:2
409	i	1	ts	ʈʂ	tɕ	tɕ	ts	tɕ	ts	ts	ʈʂ	ts	1035:0
410	m	1	r	-	-	-	-	-	-	-	-	-	1035:1
411	n	1	ɔ	o	u	u	ao	u	v/ʯ	v/ʯ	v/ʯ	v/ʯ	1035:2
412	t	1	²	³³	²²	²²	²²	²²	⁵⁵	³³	³³	³³	1035:3
413	i	1	ts	ts	ts	ts	ts	Ø	ts	ts	ts	Ø	1046:0
414	n	1	o	u	y	u	u	Ø	ou	o	u	Ø	1046:1
415	t	1	⁵	⁴²	⁴²	⁴³	⁴²	Ø	⁴²	⁴²	²¹	Ø	1046:2
416	i	1	q	Ø	q	q	q	q	Ø	k	q	k	1056:0
417	n	1	æ	Ø	a	æ	a	ã	Ø	ɚ/ə̃	a	ɛ	1056:1
418	c	1	n	Ø	-	-	n	-	Ø	-	ŋ	-	1056:2
419	t	1	²	Ø	²²	²²	²²	²²	Ø	³³	³³	³³	1056:3
420	i	1	tsʰ	Ø	tsʰ	tsʰ	tsʰ	ts	Ø	tsʰ	tsʰ	Ø	1066:0
421	n	1	o	Ø	o	o	o	õ	Ø	o	o	Ø	1066:1
422	c	1	ŋ	Ø	-	-	ŋ	-	Ø	ŋ	ŋ	Ø	1066:2
423	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	1066:3
424	i	1	h	Ø	Ø	Ø	h	Ø	Ø	Ø	h	Ø	1075:0
425	n	1	ɔ	Ø	Ø	Ø	o	Ø	Ø	Ø	ɔ	Ø	1075:1
426	t	1	¹	Ø	Ø	Ø	¹²	Ø	Ø	Ø	⁵⁵	Ø	1075:2
427	i	1	Ø	x	x	χ	Ø	k	x	x	Ø	x	1074:0
428	n	1	Ø	ou	o	o	Ø	v/ʯ	ou	o	Ø	o	1074:1
429	t	1	Ø	³⁵	⁵⁵	²⁴	Ø	⁴²	⁵⁵	⁵⁵	Ø	³⁵	1074:2
430	i	1	qʰ	Ø	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	1086:0
431	n	1	ɔ	Ø	u	u	u	o	ou	o	o	ɑ	1086:1
432	t	1	⁴	Ø	⁴⁴	⁵⁵	²²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1086:2
433	i	1	kʰ	Ø	kʰ	kʰ	kʰ	k	kʰ	kʰ	kʰ	kʰ	1097:0
434	n	1	o	Ø	u	o	ao	ɯ	v/ʯ	u	v/ʯ	v/ʯ	1097:1
435	t	1	⁴	Ø	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁵⁵	⁴²	⁴⁴	1097:2
436	i	1	sʰ	ʂʰ	ɕ	ɕ	s	ɕ	s	s	ɕ	s	1107:0
437	m	1	r	-	-	i/j	-	-	-	-	-	-	1107:1
438	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	1107:2
439	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1107:3
440	i	1	tsʰ	tsʰ	Ø	tɕʰ	tsʰ	Ø	tsʰ	tsʰ	tsʰ	tsʰ	1119:0
441	m	1	u/w	u/w	Ø	y/ɥ	u/w	Ø	u/w	u/w	-	u/w	1119:1
442	n	1	a	ã	Ø	ᴇ/ɛ	a	Ø	ɑ̃	e	o	a	1119:2
443	c	1	ŋ	-	Ø	-	ŋ	Ø	-	n	ŋ	-	1119:3
444	t	1	²	³³	Ø	²²	²²	Ø	³³	³³	³³	³³	1119:4
445	i	1	pʰ	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	1130:0
446	n	1	æ	ou	Ø	æ	æ	o	a	ɚ/ə	a	ɛ	1130:1
447	t	1	⁴	³³	Ø	⁴⁴	²⁴	⁴²	⁴⁴	⁴⁴	⁴²	³³	1130:2
448	i	1	n	-	Ø	Ø	Ø	Ø	-	Ø	-	Ø	1154:0
449	m	1	j	j	Ø	Ø	Ø	Ø	j	Ø	j	Ø	1154:1
450	n	1	o	ũ	Ø	Ø	Ø	Ø	ṽ/ʯ̃	Ø	v/ʯ	Ø	1154:2
451	c	1	-	-	Ø	Ø	Ø	Ø	-	Ø	ŋ	Ø	1154:3
452	t	1	²	³³	Ø	Ø	Ø	Ø	³³	Ø	³³	Ø	1154:4
453	i	1	Ø	Ø	ɲ	ɲ	ɲ	ɲ	Ø	ɲ	Ø	ɲ	1155:0
454	m	1	Ø	Ø	i	i	i	i	Ø	-	Ø	-	1155:1
455	n	1	Ø	Ø	u	u	õ	u	Ø	õ	Ø	i	1155:2
456	c	1	Ø	Ø	-	-	-	-	Ø	-	Ø	v	1155:3
457	t	1	Ø	Ø	²²	²²	²²	²²	Ø	³³	Ø	³³	1155:4
458	i	1	n	Ø	Ø	ɲ	ɲ	ɲ	Ø	n	Ø	ɲ	1166:0
459	m	1	j	Ø	Ø	-	-	-	Ø	-	Ø	i/j	1166:1
460	n	1	i	Ø	Ø	i	i	i	Ø	i	Ø	e	1166:2
461	t	1	⁴	Ø	Ø	²²	²²	⁵⁵	Ø	⁴⁴	Ø	⁴⁴	1166:3
462	i	1	s	ɕ	s	s	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	1173:0
463	m	1	j	-	-	-	-	-	-	-	-	-	1173:1
464	n	1	i	i	i	i	i	i	i	i	i	i	1173:2
465	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1173:3
466	i	1	sʰ	ʂʰ	s	s	ʂ	x	s	s	ʂ	s	1184:0
467	m	1	r	-	-	-	-	-	-	-	-	-	1184:1
468	n	1	e	ɚ/ə	ɛ	ɿ	i	õ	a	e	ɚ/ə̃	i	1184:2
469	c	1	ŋ	-	-	-	-	-	n	n	-	-	1184:3
470	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	1184:4
471	i	1	p	f	pʰ	f	pʰ	f	f	Ø	f	p	1206:0
472	m	1	j	-	-	-	-	-	-	Ø	-	-	1206:1
473	n	1	ɛ	v/ʯ	u	ᴇ/ɛ	u	e	v/ʯ	Ø	ɚ/ə	o	1206:2
474	t	1	²	³³	⁵⁵	²²	⁵⁵	²²	³³	Ø	³³	³³	1206:3
475	i	1	Ø	f	Ø	f	pf	f	f	Ø	f	f	1218:0
476	n	1	Ø	ṽ/ʯ̃	Ø	ᴇ/ɛ	ũ	i	ṽ/ʯ̃	Ø	ɚ/ə	v/ʯ	1218:1
477	t	1	Ø	³⁵	Ø	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	³⁵	1218:2
478	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	1230:0
479	m	1	u/w	u/w	u/w	u/w	u/w	-	u/w	u/w	u/w	u/w	1230:1
480	n	1	a	a	a	a	a	õ	ɑ̃	a	a	a	1230:2
481	c	1	ŋ	ŋ	-	-	ŋ	-	g	ŋ	ŋ	-	1230:3
482	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1230:4
483	i	1	m	m	m	m	m	m	m	m	m	m	1241:0
484	n	1	ɛ	e	ɛ	ᴇ/ɛ	ə	e	e	e	ɛ	e	1241:1
485	c	1	-	-	-	-	n	-	-	-	-	-	1241:2
486	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	1241:3
487	i	1	l	l	l	l	l	l	l	l	l	l	1252:0
488	n	1	o	õ	u	u	õ	u	ṽ/ʯ̃	o	o	v/ʯ	1252:1
489	c	1	ŋ	-	-	-	-	-	-	ŋ	ŋ	-	1252:2
490	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	1252:3
491	i	1	m	m	m	m	m	m	m	m	m	m	1263:0
492	n	1	ɯ	ə̃	ɯ̃	ɯ	o	ɯ	ə̃	əɯ	o	ɯ	1263:1
493	c	1	-	-	-	-	ŋ	-	-	-	-	-	1263:2
494	t	1	⁵	⁴²	⁵⁵	⁴³	²⁴	⁴²	³¹	²¹	²¹	⁵³	1263:3
495	n	1	ɯ̃	ə̃	ɯ̃	ɯ	Ø	ɯ̃	ə̃	Ø	ɯ̃	ɯ	1274:0
496	t	1	²	³³	²²	²²	Ø	²²	³³	Ø	³³	³³	1274:1
497	i	1	ɣ	k	Ø	ɣ	q	Ø	k	k	Ø	k	1286:0
498	n	1	u	u	Ø	u	o	Ø	u	əɯ	Ø	u	1286:1
499	c	1	ŋ	-	Ø	-	ŋ	Ø	-	-	Ø	-	1286:2
500	t	1	²	³³	Ø	²²	²²	Ø	³³	²¹	Ø	³³	1286:3
501	i	1	q	k	q	q	q	q	k	k	q	k	1294:0
502	n	1	a	ã	o	a	a	ã	ɑ̃	a	ɔ	a	1294:1
503	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	-	1294:2
504	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1294:3
505	i	1	k	Ø	k	k	k	k	Ø	k	Ø	k	1305:0
506	m	1	u/w	Ø	u/w	u/w	u/w	u/w	Ø	u/w	Ø	u/w	1305:1
507	n	1	a	Ø	i	a	a	a	Ø	a	Ø	a	1305:2
508	t	1	⁴	Ø	⁵⁵	⁵⁵	¹²	⁵⁵	Ø	⁴⁴	Ø	⁵⁵	1305:3
509	i	1	ʈ	ʈʂ	Ø	Ø	ts	Ø	ts	ts	tʲ	ts	1315:0
510	m	1	u/w	u/w	Ø	Ø	u/w	Ø	u/w	u/w	u/w	u/w	1315:1
511	n	1	æ	ɚ̃/ə̃	Ø	Ø	a	Ø	a	ɚ	a	ɛ	1315:2
512	c	1	n	-	Ø	Ø	n	Ø	n	-	ŋ	-	1315:3
513	t	1	²	³³	Ø	Ø	²²	Ø	³³	³³	³³	³³	1315:4
514	i	1	ts	ts	tɕ	tɕ	tɕ	ts	ts	ts	tɕ	ts	1326:0
515	m	1	-	-	y/ɥ	y/ɥ	-	y/ɥ	-	-	y/ɥ	-	1326:1
516	n	1	u	u	i	i	y	i	u	u	i	u	1326:2
517	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1326:3
518	i	1	ɣ	k	k	k	tɕ	k	k	k	q	k	1337:0
519	m	1	-	-	-	-	i/j	-	-	-	-	-	1337:1
520	n	1	o	o	o	o	e	õ	õ	o	o	u	1337:2
521	c	1	ŋ	ŋ	-	-	n	-	-	ŋ	ŋ	-	1337:3
522	t	1	¹	³¹	²¹	²²	²²	²¹	²¹	²¹	³⁵	²¹	1337:4
523	i	1	d	tɕ	tɕ	dʑ	dʑ	dʑ	tɕ	t	ʑ	tɕ	1348:0
524	n	1	i	i	i	i	i	i	i	i	i	i	1348:1
525	t	1	³	³¹	⁴²	⁴²	⁴²	⁴²	³¹	²¹	²¹	³¹	1348:2
526	i	1	Ø	tɕ	tɕ	dʑ	dʑ	tɕ	tɕ	t	ʑ	tɕ	2966:0
527	n	1	Ø	i	i	i	i	i	i	i	i	i	2966:1
528	t	1	Ø	²¹	²¹	⁴³	²¹	²¹	³¹	³¹	²¹	³¹	2966:2
529	m	1	Ø	j	j	j	j	Ø	j	j	Ø	Ø	1360:0
530	n	1	Ø	u	u	u	u	Ø	u	u	Ø	Ø	1360:1
531	t	1	Ø	³¹	⁴²	⁴³	²⁴	Ø	³¹	³¹	Ø	Ø	1360:2
532	i	1	Ø	Ø	d	d	Ø	d	Ø	t	Ø	Ø	1361:0
533	n	1	Ø	Ø	o	a	Ø	a	Ø	i	Ø	Ø	1361:1
534	t	1	Ø	Ø	⁴²	⁴³	Ø	⁴²	Ø	³¹	Ø	Ø	1361:2
535	i	1	ɣ	ɣ	Ø	Ø	Ø	Ø	ɣ	Ø	Ø	Ø	1379:0
536	n	1	o	ou	Ø	Ø	Ø	Ø	ou	Ø	Ø	Ø	1379:1
537	t	1	⁴	⁴²	Ø	Ø	Ø	Ø	⁴²	Ø	Ø	Ø	1379:2
538	m	1	j	j	j	j	j	j	j	j	j	j	1390:0
539	n	1	ɯ	ɯ	i	ɯ	u	i	ɯ	i	u	ɯ	1390:1
540	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁴²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1390:2
541	i	1	s	s	s	s	s	s	s	s	s	s	1401:0
542	n	1	e	e	ɛ	ᴇ/ɛ	e	ẽ	e	ɛ	e	e	1401:1
543	c	1	n	n	-	-	n	-	n	-	n	-	1401:2
544	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	1401:3
545	i	1	p	p	Ø	p	Ø	Ø	p	p	Ø	p	1412:0
546	m	1	r	i/j	Ø	i/j	Ø	Ø	i/j	i/j	Ø	i/j	1412:1
547	n	1	a	a	Ø	a	Ø	Ø	o	a	Ø	a	1412:2
548	t	1	⁴	⁴⁴	Ø	⁵⁵	Ø	Ø	⁴⁴	⁴⁴	Ø	⁴⁴	1412:3
549	i	1	Ø	Ø	tɕ	Ø	tɕ	tɕ	Ø	Ø	tɕ	Ø	1413:0
550	m	1	Ø	Ø	y	Ø	u/w	u/w	Ø	Ø	-	Ø	1413:1
551	n	1	Ø	Ø	a	Ø	a	a	Ø	Ø	o	Ø	1413:2
552	t	1	Ø	Ø	⁴⁴	Ø	²⁴	⁵⁵	Ø	Ø	⁴²	Ø	1413:3
553	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	k	qʰ	Ø	1423:0
554	n	1	o	õ	õ	o	o	õ	ṽ/ʯ̃	o	o	Ø	1423:1
555	c	1	ŋ	-	-	-	ŋ	-	-	ŋ	ŋ	Ø	1423:2
556	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	1423:3
557	i	1	m	m	m	m	m	m	m	Ø	m	m	1433:0
558	n	1	ɯ	ə̃	ɯ	ɯ	o	ɯ	õ	Ø	ɯ	o	1433:1
559	c	1	-	-	-	-	ŋ	-	-	Ø	-	-	1433:2
560	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	Ø	³⁵	²¹	1433:3
561	i	1	m	m	Ø	m	m	Ø	Ø	Ø	m	Ø	1445:0
562	n	1	ɯ	ɯ	Ø	ɯ	u	Ø	Ø	Ø	ɯ	Ø	1445:1
563	t	1	²	³³	Ø	²²	²²	Ø	Ø	Ø	⁴⁴	Ø	1445:2
564	i	1	s	s	s	s	ʂ	ʂ	s	s	ʂ	s	1451:0
565	m	1	r	-	-	-	-	-	-	-	-	-	1451:1
566	n	1	i	i	ɛ	ɿ	i	ɚ/ə	i	i	i	i	1451:2
567	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1451:3
568	i	1	ŋ	u/w	ŋ	ŋ	u/w	Ø	u/w	ŋ	u/w	u/w	1462:0
569	m	1	u/w	-	u/w	u/w	-	Ø	-	u/w	-	-	1462:1
570	n	1	e	ẽ	i	i	e	Ø	ẽ	ɛ	e	e	1462:2
571	c	1	n	-	-	-	n	Ø	-	-	n	-	1462:3
572	t	1	²	³³	²²	²²	²²	Ø	³³	³³	³³	³³	1462:4
573	i	1	t	t	t	t	t	t	t	ts	t	t	1473:0
574	m	1	u/w	u/w	-	y/ɥ	iu/ɥ	y/ɥ	u/w	u/w	u/w	u/w	1473:1
575	n	1	e	e	i	ᴇ/ɛ	e	i	e	e	e	e	1473:2
576	c	1	n	n	-	-	n	-	n	n	-	-	1473:3
577	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	1473:4
578	i	1	pʰ	f	f	f	pfʰ	f	f	pʰ	f	Ø	1484:0
579	m	1	j	-	-	-	-	-	-	-	-	Ø	1484:1
580	n	1	ɛ	v/ʯ	ɛ	ᴇ/ɛ	u	e	v/ʯ	i	ɚ/ə	Ø	1484:2
581	t	1	³	³¹	²²	⁴³	⁵⁵	⁴²	³¹	²¹	²¹	Ø	1484:3
582	i	1	p	p	Ø	p	Ø	Ø	p	pʰ	Ø	Ø	1497:0
583	m	1	r	-	Ø	-	Ø	Ø	-	-	Ø	Ø	1497:1
584	n	1	i	i	Ø	i	Ø	Ø	i	i	Ø	Ø	1497:2
585	t	1	⁴	⁴⁴	Ø	⁵⁵	Ø	Ø	⁴⁴	⁵⁵	Ø	Ø	1497:3
586	i	1	Ø	Ø	tɕ	Ø	tɕ	tɕ	Ø	Ø	tɕ	Ø	1498:0
