# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	STRUCTURE
1071	306_dragon	dragon	Gongxing	Gongxing	lõ12	lõ12	l õ ¹²		2038	27.0852794	99.1652452		i n t
1072	306_dragon	dragon	Enqi	Enqi	lu21	lu21	l u ²¹	enqi1234	2038	26.4738155	99.1189832		i n t
1073	306_dragon	dragon	Ega	Ega	lu21	lu21	l u ²¹	egab1234	2038	26.4858945	98.8528962		i n t
1074	306_dragon	dragon	Jinman	Jinman	lu21	lu21	l u ²¹	nuji1238	2038	26.4154856	99.1285952		i n t
1075	306_dragon	dragon	Jinxing	Jinxing	lṽ21	lṽ21	l ṽ/ʯ̃ ²¹		2038	24.9259218	103.1237482		i n t
1076	306_dragon	dragon	Dashi	Dashi	lõ21	lõ21	l õ ²¹		2038	26.3530106	100.1930442		i n t
1077	306_dragon	dragon	Zhoucheng	Zhoucheng	lv21	lv21	l v/ʯ ²¹	zhou1234	2038	25.8958826	100.0988062		i n t
1078	306_dragon	dragon	Mazhelong	Mazhelong	loŋ21	loŋ21	l o ŋ ²¹		2038	24.1677209	104.1950232		i n c t
#
1079	699_dream	dream	ProtoBai	Proto-Bai	mɯ5	mɯ5	m ɯ ⁵		2374				i n t
1080	699_dream	dream	Tuoluo	Tuoluo	mo21	mo21	m o ²¹	tuol1234	2374	23.3833337	102.1839821		i n t
1081	699_dream	dream	Gongxing	Gongxing	moŋ24	moŋ24	m o ŋ ²⁴		2374	27.0852794	99.1652452		i n c t
1082	699_dream	dream	Enqi	Enqi	mɯ43	mɯ43	m ɯ ⁴³	enqi1234	2374	26.4738155	99.1189832		i n t
1083	699_dream	dream	Ega	Ega	mɯ̃55	mɯ̃55	m ɯ̃ ⁵⁵	egab1234	2374	26.4858945	98.8528962		i n t
1084	699_dream	dream	Jinman	Jinman	mɯ42	mɯ42	m ɯ ⁴²	nuji1238	2374	26.4154856	99.1285952		i n t
1085	699_dream	dream	Jinxing	Jinxing	mǝ̃31	mǝ̃31	m ə̃ ³¹		2374	24.9259218	103.1237482		i n t
1086	699_dream	dream	Dashi	Dashi	mǝ̃42	mǝ̃42	m ə̃ ⁴²		2374	26.3530106	100.1930442		i n t
1087	699_dream	dream	Zhoucheng	Zhoucheng	mɯ53	mɯ53	m ɯ ⁵³	zhou1234	2374	25.8958826	100.0988062		i n t
1088	699_dream	dream	Mazhelong	Mazhelong	mǝɯ21	mǝɯ21	m əɯ ²¹		2374	24.1677209	104.1950232		i n t
#
1089	1370_drink	drink	ProtoBai	Proto-Bai	ɣɯ2	ɣɯ2	ɣ ɯ ²		1401				i n t
1090	1370_drink	drink	ProtoBai	Proto-Bai	ɯ̃2	ɯ̃2	ɯ̃ ²		1401				n t
1091	1370_drink	drink	Tuoluo	Tuoluo	ɯ̃33	ɯ̃33	ɯ̃ ³³	tuol1234	1401	23.3833337	102.1839821		n t
1092	1370_drink	drink	Gongxing	Gongxing	(oŋ22)	oŋ22	o ŋ ²²		1401	27.0852794	99.1652452		n c t
1093	1370_drink	drink	Enqi	Enqi	ɯ22	ɯ22	ɯ ²²	enqi1234	1401	26.4738155	99.1189832		n t
1094	1370_drink	drink	Ega	Ega	ɯ̃22	ɯ̃22	ɯ̃ ²²	egab1234	1401	26.4858945	98.8528962		n t
1095	1370_drink	drink	Jinman	Jinman	ɯ̃22	ɯ̃22	ɯ̃ ²²	nuji1238	1401	26.4154856	99.1285952		n t
1096	1370_drink	drink	Jinxing	Jinxing	ǝ̃33	ǝ̃33	ə̃ ³³		1401	24.9259218	103.1237482		n t
1097	1370_drink	drink	Dashi	Dashi	ǝ̃33	ǝ̃33	ə̃ ³³		1401	26.3530106	100.1930442		n t
1098	1370_drink	drink	Zhoucheng	Zhoucheng	ɯ33	ɯ33	ɯ ³³	zhou1234	1401	25.8958826	100.0988062		n t
1099	1370_drink	drink	Mazhelong	Mazhelong	oŋ33	oŋ33	o ŋ ³³		1401	24.1677209	104.1950232		n c t
#
1100	659_drum	drum	ProtoBai	Proto-Bai	ɢuŋ2	ɢuŋ2	ɣ u ŋ ²		908				i n c t
1101	659_drum	drum	Gongxing	Gongxing	qoŋ22	qoŋ22	q o ŋ ²²		908	27.0852794	99.1652452		i n c t
1102	659_drum	drum	Enqi	Enqi	ɢu22	ɢu22	ɣ u ²²	enqi1234	908	26.4738155	99.1189832		i n t
1103	659_drum	drum	Jinxing	Jinxing	ku33	ku33	k u ³³		908	24.9259218	103.1237482		i n t
1104	659_drum	drum	Dashi	Dashi	ku33	ku33	k u ³³		908	26.3530106	100.1930442		i n t
1105	659_drum	drum	Zhoucheng	Zhoucheng	ku33	ku33	k u ³³	zhou1234	908	25.8958826	100.0988062		i n t
1106	659_drum	drum	Mazhelong	Mazhelong	(kǝɯ21)	kǝɯ21	k əɯ ²¹		908	24.1677209	104.1950232		i n t
#
1107	1028_dry	dry	ProtoBai	Proto-Bai	qaŋ1	qaŋ1	q a ŋ ¹		1398				i n c t
1108	1028_dry	dry	Tuoluo	Tuoluo	qɔŋ55	qɔŋ55	q ɔ ŋ ⁵⁵	tuol1234	1398	23.3833337	102.1839821		i n c t
1109	1028_dry	dry	Gongxing	Gongxing	qaŋ55	qaŋ55	q a ŋ ⁵⁵		1398	27.0852794	99.1652452		i n c t
1110	1028_dry	dry	Enqi	Enqi	qa24	qa24	q a ²⁴	enqi1234	1398	26.4738155	99.1189832		i n t
1111	1028_dry	dry	Ega	Ega	qo55	qo55	q o ⁵⁵	egab1234	1398	26.4858945	98.8528962		i n t
1112	1028_dry	dry	Jinman	Jinman	qã55	qã55	q ã ⁵⁵	nuji1238	1398	26.4154856	99.1285952		i n t
1113	1028_dry	dry	Jinxing	Jinxing	kɑ̃55	kɑ̃55	k ɑ̃ ⁵⁵		1398	24.9259218	103.1237482		i n t
1114	1028_dry	dry	Dashi	Dashi	kã35	kã35	k ã ³⁵		1398	26.3530106	100.1930442		i n t
1115	1028_dry	dry	Zhoucheng	Zhoucheng	ka35	ka35	k a ³⁵	zhou1234	1398	25.8958826	100.0988062		i n t
1116	1028_dry	dry	Mazhelong	Mazhelong	kaŋ55	kaŋ55	k a ŋ ⁵⁵		1398	24.1677209	104.1950232		i n c t
#
1117	2118_eaglefern	eagle fern	ProtoBai	Proto-Bai	kua4	kua4	k u/w a ⁴						i m n t
1118	2118_eaglefern	eagle fern	Gongxing	Gongxing	kua12	kua12	k u/w a ¹²			27.0852794	99.1652452		i m n t
1119	2118_eaglefern	eagle fern	Enqi	Enqi	kua55	kua55	k u/w a ⁵⁵	enqi1234		26.4738155	99.1189832		i m n t
1120	2118_eaglefern	eagle fern	Ega	Ega	(kui55)/(i45qɯ22)	kui55	k u/w i ⁵⁵	egab1234		26.4858945	98.8528962		i m n t
1121	2118_eaglefern	eagle fern	Ega	Ega	(kui55)/(i45qɯ22)	i45qɯ22	i ⁴⁵ + q ɯ ²²	egab1234		26.4858945	98.8528962		n t + i n t
1122	2118_eaglefern	eagle fern	Jinman	Jinman	kua55	kua55	k u/w a ⁵⁵	nuji1238		26.4154856	99.1285952		i m n t
1123	2118_eaglefern	eagle fern	Zhoucheng	Zhoucheng	kua55	kua55	k u/w a ⁵⁵	zhou1234		25.8958826	100.0988062		i m n t
1124	2118_eaglefern	eagle fern	Mazhelong	Mazhelong	kua44	kua44	k u/w a ⁴⁴			24.1677209	104.1950232		i m n t
#
1125	407_earspike	ear; spike	ProtoBai	Proto-Bai	truæn2	truæn2	ʈ u/w æ n ²		3244				i m n c t
1126	407_earspike	ear; spike	Tuoluo	Tuoluo	tjuaŋ33	tjuaŋ33	tʲ u/w a ŋ ³³	tuol1234	3244	23.3833337	102.1839821		i m n c t
1127	407_earspike	ear; spike	Gongxing	Gongxing	tsuan22	tsuan22	ts u/w a n ²²		3244	27.0852794	99.1652452		i m n c t
1128	407_earspike	ear; spike	Enqi	Enqi	tzE22	tzE22	t z ᴇ/ɛ ²²	enqi1234	3244	26.4738155	99.1189832		i m n t
1129	407_earspike	ear; spike	Ega	Ega	tɕya22	tɕya22	tɕ y a ²²	egab1234	3244	26.4858945	98.8528962		i m n t
1130	407_earspike	ear; spike	Jinman	Jinman	ʈõ22	ʈõ22	ʈ õ ²²	nuji1238	3244	26.4154856	99.1285952		i n t
1131	407_earspike	ear; spike	Jinxing	Jinxing	tsuan33	tsuan33	ts u/w a n ³³		3244	24.9259218	103.1237482		i m n c t
1132	407_earspike	ear; spike	Dashi	Dashi	tʂuɚ̃33	tʂuɚ̃33	ʈʂ u/w ɚ̃/ə̃ ³³		3244	26.3530106	100.1930442		i m n t
1133	407_earspike	ear; spike	Zhoucheng	Zhoucheng	tsuɛ33	tsuɛ33	ts u/w ɛ ³³	zhou1234	3244	25.8958826	100.0988062		i m n t
1134	407_earspike	ear; spike	Mazhelong	Mazhelong	tsuɚ33	tsuɚ33	ts u/w ɚ ³³		3244	24.1677209	104.1950232		i m n t
#
1135	1018_early	early	ProtoBai	Proto-Bai	tsu2	tsu2	ts u ²		672				i n t
1136	1018_early	early	Tuoluo	Tuoluo	tɕyi33	tɕyi33	tɕ y/ɥ i ³³	tuol1234	672	23.3833337	102.1839821		i m n t
1137	1018_early	early	Gongxing	Gongxing	tɕy22	tɕy22	tɕ y ²²		672	27.0852794	99.1652452		i n t
1138	1018_early	early	Enqi	Enqi	tɕyi22	tɕyi22	tɕ y/ɥ i ²²	enqi1234	672	26.4738155	99.1189832		i m n t
1139	1018_early	early	Ega	Ega	tɕyi22	tɕyi22	tɕ y/ɥ i ²²	egab1234	672	26.4858945	98.8528962		i m n t
1140	1018_early	early	Jinman	Jinman	tsyi22	tsyi22	ts y/ɥ i ²²	nuji1238	672	26.4154856	99.1285952		i m n t
1141	1018_early	early	Jinxing	Jinxing	tsu33	tsu33	ts u ³³		672	24.9259218	103.1237482		i n t
1142	1018_early	early	Dashi	Dashi	tsu33	tsu33	ts u ³³		672	26.3530106	100.1930442		i n t
1143	1018_early	early	Zhoucheng	Zhoucheng	tsu33	tsu33	ts u ³³	zhou1234	672	25.8958826	100.0988062		i n t
1144	1018_early	early	Mazhelong	Mazhelong	tsu33	tsu33	ts u ³³		672	24.1677209	104.1950232		i n t
#
1145	484_earrings	earrings	ProtoBai	Proto-Bai	ɢoŋ1	ɢoŋ1	ɣ o ŋ ¹		770				i n c t
1146	484_earrings	earrings	Tuoluo	Tuoluo	qoŋ35	qoŋ35	q o ŋ ³⁵	tuol1234	770	23.3833337	102.1839821		i n c t
1147	484_earrings	earrings	Gongxing	Gongxing	(tɕien22)	tɕien22	tɕ i/j e n ²²		770	27.0852794	99.1652452		i m n c t
1148	484_earrings	earrings	Enqi	Enqi	ko22	ko22	k o ²²	enqi1234	770	26.4738155	99.1189832		i n t
1149	484_earrings	earrings	Ega	Ega	ko21	ko21	k o ²¹	egab1234	770	26.4858945	98.8528962		i n t
1150	484_earrings	earrings	Jinman	Jinman	kõ21	kõ21	k õ ²¹	nuji1238	770	26.4154856	99.1285952		i n t
1151	484_earrings	earrings	Jinxing	Jinxing	kõ21	kõ21	k õ ²¹		770	24.9259218	103.1237482		i n t
1152	484_earrings	earrings	Dashi	Dashi	koŋ31	koŋ31	k o ŋ ³¹		770	26.3530106	100.1930442		i n c t
1153	484_earrings	earrings	Zhoucheng	Zhoucheng	ku21	ku21	k u ²¹	zhou1234	770	25.8958826	100.0988062		i n t
1154	484_earrings	earrings	Mazhelong	Mazhelong	koŋ21	koŋ21	k o ŋ ²¹		770	24.1677209	104.1950232		i n c t
#
1155	22_earth	earth	ProtoBai	Proto-Bai	di3	di3	d i ³		1228				i n t
1156	22_earth	earth	Tuoluo	Tuoluo	ʑi21	ʑi21	ʑ i ²¹	tuol1234	1228	23.3833337	102.1839821		i n t
1157	22_earth	earth	Gongxing	Gongxing	dʑi42	dʑi42	dʑ i ⁴²		1228	27.0852794	99.1652452		i n t
1158	22_earth	earth	Enqi	Enqi	dʑi42 3	dʑi42	dʑ i ⁴²	enqi1234	1228	26.4738155	99.1189832		i n t
1159	22_earth	earth	Ega	Ega	tɕi42	tɕi42	tɕ i ⁴²	egab1234	1228	26.4858945	98.8528962		i n t
1160	22_earth	earth	Jinman	Jinman	dʑi42	dʑi42	dʑ i ⁴²	nuji1238	1228	26.4154856	99.1285952		i n t
1161	22_earth	earth	Jinxing	Jinxing	tɕi31	tɕi31	tɕ i ³¹		1228	24.9259218	103.1237482		i n t
1162	22_earth	earth	Dashi	Dashi	tɕi31	tɕi31	tɕ i ³¹		1228	26.3530106	100.1930442		i n t
1163	22_earth	earth	Zhoucheng	Zhoucheng	tɕi31	tɕi31	tɕ i ³¹	zhou1234	1228	25.8958826	100.0988062		i n t
1164	22_earth	earth	Mazhelong	Mazhelong	ti21	ti21	t i ²¹		1228	24.1677209	104.1950232		i n t
#
1165	1265_earthquake	earth quake	Tuoluo	Tuoluo	ʑi21ʐu21	ʑi21ʐu21	ʑ i ²¹ + ʐ u ²¹	tuol1234	6	23.3833337	102.1839821		i n t + i n t
1166	1265_earthquake	earth quake	Gongxing	Gongxing	dʑi21ju24	dʑi21ju24	dʑ i ²¹ + j u ²⁴		6	27.0852794	99.1652452		i n t + m n t
1167	1265_earthquake	earth quake	Enqi	Enqi	da43dʑi43ju43	da43dʑi43ju43	d a ⁴³ + dʑ i ⁴³ + j u ⁴³	enqi1234	6	26.4738155	99.1189832		i n t + i n t + m n t
1168	1265_earthquake	earth quake	Ega	Ega	do42tɕi21ju42	do42tɕi21ju42	d o ⁴² + tɕ i ²¹ + j u ⁴²	egab1234	6	26.4858945	98.8528962		i n t + i n t + m n t
1169	1265_earthquake	earth quake	Jinman	Jinman	da42tɕi21u42	da42tɕi21u42	d a ⁴² + tɕ i ²¹ + u ⁴²	nuji1238	6	26.4154856	99.1285952		i n t + i n t + n t
1170	1265_earthquake	earth quake	Jinxing	Jinxing	tɕi31ju31	tɕi31ju31	tɕ i ³¹ + j u ³¹		6	24.9259218	103.1237482		i n t + m n t
1171	1265_earthquake	earth quake	Dashi	Dashi	tɕi21ju31	tɕi21ju31	tɕ i ²¹ + j u ³¹		6	26.3530106	100.1930442		i n t + m n t
1172	1265_earthquake	earth quake	Mazhelong	Mazhelong	ti31ju31	ti31ju31	t i ³¹ + j u ³¹		6	24.1677209	104.1950232		i n t + m n t
#
1173	1068_easy	easy	ProtoBai	Proto-Bai	ɣo4	ɣo4	ɣ o ⁴		686				i n t
1174	1068_easy	easy	Tuoluo	Tuoluo	(tsi55o33)	tsi55o33	ts i ⁵⁵ + o ³³	tuol1234	686	23.3833337	102.1839821		i n t + n t
1175	1068_easy	easy	Gongxing	Gongxing	u21	u21	u ²¹		686	27.0852794	99.1652452		n t
1176	1068_easy	easy	Enqi	Enqi	u21	u21	u ²¹	enqi1234	686	26.4738155	99.1189832		n t
1177	1068_easy	easy	Ega	Ega	u42	u42	u ⁴²	egab1234	686	26.4858945	98.8528962		n t
1178	1068_easy	easy	Jinman	Jinman	u42	u42	u ⁴²	nuji1238	686	26.4154856	99.1285952		n t
1179	1068_easy	easy	Jinxing	Jinxing	ɣou42	ɣou42	ɣ ou ⁴²		686	24.9259218	103.1237482		i n t
1180	1068_easy	easy	Dashi	Dashi	ɣou42	ɣou42	ɣ ou ⁴²		686	26.3530106	100.1930442		i n t
1181	1068_easy	easy	Zhoucheng	Zhoucheng	ou42	ou42	ou ⁴²	zhou1234	686	25.8958826	100.0988062		n t
#
1182	1198_eat	eat	ProtoBai	Proto-Bai	jɯ4	jɯ4	j ɯ ⁴		1336				m n t
1183	1198_eat	eat	Tuoluo	Tuoluo	ju42	ju42	j u ⁴²	tuol1234	1336	23.3833337	102.1839821		m n t
1184	1198_eat	eat	Gongxing	Gongxing	ju42	ju42	j u ⁴²		1336	27.0852794	99.1652452		m n t
1185	1198_eat	eat	Enqi	Enqi	jɯ55	jɯ55	j ɯ ⁵⁵	enqi1234	1336	26.4738155	99.1189832		m n t
1186	1198_eat	eat	Ega	Ega	ji44	ji44	j i ⁴⁴	egab1234	1336	26.4858945	98.8528962		m n t
1187	1198_eat	eat	Jinman	Jinman	ji55	ji55	j i ⁵⁵	nuji1238	1336	26.4154856	99.1285952		m n t
1188	1198_eat	eat	Jinxing	Jinxing	jɯ44	jɯ44	j ɯ ⁴⁴		1336	24.9259218	103.1237482		m n t
1189	1198_eat	eat	Dashi	Dashi	jɯ44	jɯ44	j ɯ ⁴⁴		1336	26.3530106	100.1930442		m n t
1190	1198_eat	eat	Zhoucheng	Zhoucheng	jɯ44	jɯ44	j ɯ ⁴⁴	zhou1234	1336	25.8958826	100.0988062		m n t
1191	1198_eat	eat	Mazhelong	Mazhelong	ji44	ji44	j i ⁴⁴		1336	24.1677209	104.1950232		m n t
#
1192	450_egg	egg	ProtoBai	Proto-Bai	sen5	sen5	s e n ⁵		744				i n c t
1193	450_egg	egg	Tuoluo	Tuoluo	sen21 ('testicle')	sen21	s e n ²¹	tuol1234	744	23.3833337	102.1839821		i n c t
1194	450_egg	egg	Gongxing	Gongxing	sen42	sen42	s e n ⁴²		744	27.0852794	99.1652452		i n c t
1195	450_egg	egg	Enqi	Enqi	sE43	sE43	s ᴇ/ɛ ⁴³	enqi1234	744	26.4738155	99.1189832		i n t
1196	450_egg	egg	Ega	Ega	sɛ42	sɛ42	s ɛ ⁴²	egab1234	744	26.4858945	98.8528962		i n t
1197	450_egg	egg	Jinman	Jinman	sẽ42	sẽ42	s ẽ ⁴²	nuji1238	744	26.4154856	99.1285952		i n t
1198	450_egg	egg	Jinxing	Jinxing	sen42	sen42	s e n ⁴²		744	24.9259218	103.1237482		i n c t
1199	450_egg	egg	Dashi	Dashi	sen42	sen42	s e n ⁴²		744	26.3530106	100.1930442		i n c t
1200	450_egg	egg	Zhoucheng	Zhoucheng	se42	se42	s e ⁴²	zhou1234	744	25.8958826	100.0988062		i n t
1201	450_egg	egg	Mazhelong	Mazhelong	sɛ42	sɛ42	s ɛ ⁴²		744	24.1677209	104.1950232		i n t
#
1202	804_eight	eight	ProtoBai	Proto-Bai	pra4	pra4	p r a ⁴		1705				i m n t
1203	804_eight	eight	Tuoluo	Tuoluo	tɕo42	tɕo42	tɕ o ⁴²	tuol1234	1705	23.3833337	102.1839821		i n t
1204	804_eight	eight	Gongxing	Gongxing	tɕua24	tɕua24	tɕ u/w a ²⁴		1705	27.0852794	99.1652452		i m n t
1205	804_eight	eight	Enqi	Enqi	pia55	pia55	p i/j a ⁵⁵	enqi1234	1705	26.4738155	99.1189832		i m n t
1206	804_eight	eight	Ega	Ega	tɕya44	tɕya44	tɕ y a ⁴⁴	egab1234	1705	26.4858945	98.8528962		i m n t
1207	804_eight	eight	Jinman	Jinman	tɕua55	tɕua55	tɕ u/w a ⁵⁵	nuji1238	1705	26.4154856	99.1285952		i m n t
1208	804_eight	eight	Jinxing	Jinxing	pio44?	pio44?	p i/j o ⁴⁴		1705	24.9259218	103.1237482		i m n t
1209	804_eight	eight	Dashi	Dashi	pia44	pia44	p i/j a ⁴⁴		1705	26.3530106	100.1930442		i m n t
1210	804_eight	eight	Zhoucheng	Zhoucheng	pia44	pia44	p i/j a ⁴⁴	zhou1234	1705	25.8958826	100.0988062		i m n t
1211	804_eight	eight	Mazhelong	Mazhelong	pia44	pia44	p i/j a ⁴⁴		1705	24.1677209	104.1950232		i m n t
#
1212	985_empty	empty	ProtoBai	Proto-Bai	qʰoŋ1	qʰoŋ1	qʰ o ŋ ¹		1624				i n c t
1213	985_empty	empty	Tuoluo	Tuoluo	qʰoŋ55	qʰoŋ55	qʰ o ŋ ⁵⁵	tuol1234	1624	23.3833337	102.1839821		i n c t
1214	985_empty	empty	Gongxing	Gongxing	qʰoŋ55	qʰoŋ55	qʰ o ŋ ⁵⁵		1624	27.0852794	99.1652452		i n c t
1215	985_empty	empty	Enqi	Enqi	qʰo24	qʰo24	qʰ o ²⁴	enqi1234	1624	26.4738155	99.1189832		i n t
1216	985_empty	empty	Ega	Ega	qʰõ55	qʰõ55	qʰ õ ⁵⁵	egab1234	1624	26.4858945	98.8528962		i n t
1217	985_empty	empty	Jinman	Jinman	qʰõ55	qʰõ55	qʰ õ ⁵⁵	nuji1238	1624	26.4154856	99.1285952		i n t
1218	985_empty	empty	Jinxing	Jinxing	kʰṽ55	kʰṽ55	kʰ ṽ/ʯ̃ ⁵⁵		1624	24.9259218	103.1237482		i n t
1219	985_empty	empty	Dashi	Dashi	kʰõ55	kʰõ55	kʰ õ ⁵⁵		1624	26.3530106	100.1930442		i n t
1220	985_empty	empty	Mazhelong	Mazhelong	koŋ55	koŋ55	k o ŋ ⁵⁵		1624	24.1677209	104.1950232		i n c t
#
1221	1663_escaperunaway	escape; run away	ProtoBai	Proto-Bai	mɯ1b	mɯ1b	m ɯ 1b/¹		2142				i n t
1222	1663_escaperunaway	escape; run away	Tuoluo	Tuoluo	mɯ35	mɯ35	m ɯ ³⁵	tuol1234	2142	23.3833337	102.1839821		i n t
1223	1663_escaperunaway	escape; run away	Gongxing	Gongxing	moŋ12	moŋ12	m o ŋ ¹²		2142	27.0852794	99.1652452		i n c t
1224	1663_escaperunaway	escape; run away	Enqi	Enqi	mɯ21	mɯ21	m ɯ ²¹	enqi1234	2142	26.4738155	99.1189832		i n t
1225	1663_escaperunaway	escape; run away	Ega	Ega	mɯ21	mɯ21	m ɯ ²¹	egab1234	2142	26.4858945	98.8528962		i n t
1226	1663_escaperunaway	escape; run away	Jinman	Jinman	mɯ21	mɯ21	m ɯ ²¹	nuji1238	2142	26.4154856	99.1285952		i n t
1227	1663_escaperunaway	escape; run away	Jinxing	Jinxing	mõ21	mõ21	m õ ²¹		2142	24.9259218	103.1237482		i n t
1228	1663_escaperunaway	escape; run away	Dashi	Dashi	mǝ̃21	mǝ̃21	m ə̃ ²¹		2142	26.3530106	100.1930442		i n t
1229	1663_escaperunaway	escape; run away	Zhoucheng	Zhoucheng	mo21	mo21	m o ²¹	zhou1234	2142	25.8958826	100.0988062		i n t
1230	1663_escaperunaway	escape; run away	Mazhelong	Mazhelong	(liɐ55lɛ55)	liɐ55lɛ55	l i ɐ ⁵⁵ + l ɛ ⁵⁵		2142	24.1677209	104.1950232		i m n t + i n t
#
1231	1419_exchange	exchange	ProtoBai	Proto-Bai	mɯ2	mɯ2	m ɯ ²		2509				i n t
1232	1419_exchange	exchange	Tuoluo	Tuoluo	mɯ44	mɯ44	m ɯ ⁴⁴	tuol1234	2509	23.3833337	102.1839821		i n t
1233	1419_exchange	exchange	Gongxing	Gongxing	mu22	mu22	m u ²²		2509	27.0852794	99.1652452		i n t
1234	1419_exchange	exchange	Enqi	Enqi	mɯ22	mɯ22	m ɯ ²²	enqi1234	2509	26.4738155	99.1189832		i n t
1235	1419_exchange	exchange	Dashi	Dashi	mɯ33	mɯ33	m ɯ ³³		2509	26.3530106	100.1930442		i n t
#
1236	151_excrement	excrement	ProtoBai	Proto-Bai	sri2	sri2	s r i ²		675				i m n t
1237	151_excrement	excrement	Tuoluo	Tuoluo	ʂi33	ʂi33	ʂ i ³³	tuol1234	675	23.3833337	102.1839821		i n t
1238	151_excrement	excrement	Gongxing	Gongxing	ʂi22	ʂi22	ʂ i ²²		675	27.0852794	99.1652452		i n t
1239	151_excrement	excrement	Enqi	Enqi	sɿ22	sɿ22	s ɿ ²²	enqi1234	675	26.4738155	99.1189832		i n t
1240	151_excrement	excrement	Ega	Ega	sɛ22	sɛ22	s ɛ ²²	egab1234	675	26.4858945	98.8528962		i n t
1241	151_excrement	excrement	Jinman	Jinman	ʂɚ22	ʂɚ22	ʂ ɚ/ə ²²	nuji1238	675	26.4154856	99.1285952		i n t
1242	151_excrement	excrement	Jinxing	Jinxing	si33	si33	s i ³³		675	24.9259218	103.1237482		i n t
1243	151_excrement	excrement	Dashi	Dashi	si33	si33	s i ³³		675	26.3530106	100.1930442		i n t
1244	151_excrement	excrement	Zhoucheng	Zhoucheng	si33	si33	s i ³³	zhou1234	675	25.8958826	100.0988062		i n t
1245	151_excrement	excrement	Mazhelong	Mazhelong	si33	si33	s i ³³		675	24.1677209	104.1950232		i n t
#
1246	79_eye	eye	ProtoBai	Proto-Bai	ŋuen2	ŋuen2	ŋ u/w e n ²		1248				i m n c t
1247	79_eye	eye	Tuoluo	Tuoluo	uen33	uen33	u/w e n ³³	tuol1234	1248	23.3833337	102.1839821		i n c t
1248	79_eye	eye	Gongxing	Gongxing	uen22	uen22	u/w e n ²²		1248	27.0852794	99.1652452		i n c t
1249	79_eye	eye	Enqi	Enqi	ŋui22	ŋui22	ŋ u/w i ²²	enqi1234	1248	26.4738155	99.1189832		i m n t
1250	79_eye	eye	Ega	Ega	ŋui22	ŋui22	ŋ u/w i ²²	egab1234	1248	26.4858945	98.8528962		i m n t
1251	79_eye	eye	Jinman	Jinman	mi22	mi22	m i ²²	nuji1238	1248	26.4154856	99.1285952		i n t
1252	79_eye	eye	Jinxing	Jinxing	uẽ33	uẽ33	u/w ẽ ³³		1248	24.9259218	103.1237482		i n t
1253	79_eye	eye	Dashi	Dashi	uẽ33	uẽ33	u/w ẽ ³³		1248	26.3530106	100.1930442		i n t
1254	79_eye	eye	Zhoucheng	Zhoucheng	ue33	ue33	u/w e ³³	zhou1234	1248	25.8958826	100.0988062		i n t
1255	79_eye	eye	Mazhelong	Mazhelong	ŋuɛ33	ŋuɛ33	ŋ u/w ɛ ³³		1248	24.1677209	104.1950232		i m n t
#
1256	974_far	far	ProtoBai	Proto-Bai	tuen2	tuen2	t u/w e n ²		1406				i m n c t
1257	974_far	far	Tuoluo	Tuoluo	tue33	tue33	t u/w e ³³	tuol1234	1406	23.3833337	102.1839821		i m n t
1258	974_far	far	Gongxing	Gongxing	tiuen22	tiuen22	t iu/ɥ e n ²²		1406	27.0852794	99.1652452		i m n c t
1259	974_far	far	Enqi	Enqi	tyE22	tyE22	t y/ɥ ᴇ/ɛ ²²	enqi1234	1406	26.4738155	99.1189832		i m n t
1260	974_far	far	Ega	Ega	ti22	ti22	t i ²²	egab1234	1406	26.4858945	98.8528962		i n t
1261	974_far	far	Jinman	Jinman	tyi22	tyi22	t y/ɥ i ²²	nuji1238	1406	26.4154856	99.1285952		i m n t
1262	974_far	far	Jinxing	Jinxing	tuen33	tuen33	t u/w e n ³³		1406	24.9259218	103.1237482		i m n c t
1263	974_far	far	Dashi	Dashi	tuen33	tuen33	t u/w e n ³³		1406	26.3530106	100.1930442		i m n c t
1264	974_far	far	Zhoucheng	Zhoucheng	tue33	tue33	t u/w e ³³	zhou1234	1406	25.8958826	100.0988062		i m n t
1265	974_far	far	Mazhelong	Mazhelong	tsuen33	tsuen33	ts u/w e n ³³		1406	24.1677209	104.1950232		i m n c t
#
1266	153_fart	fart	ProtoBai	Proto-Bai	pʰjɛ3	pʰjɛ3	pʰ j ɛ ³		1159				i m n t
1267	153_fart	fart	Tuoluo	Tuoluo	fɚ21	fɚ21	f ɚ/ə ²¹	tuol1234	1159	23.3833337	102.1839821		i n t
1268	153_fart	fart	Gongxing	Gongxing	pfʰu55	pfʰu55	pfʰ u ⁵⁵		1159	27.0852794	99.1652452		i n t
1269	153_fart	fart	Enqi	Enqi	fE43	fE43	f ᴇ/ɛ ⁴³	enqi1234	1159	26.4738155	99.1189832		i n t
1270	153_fart	fart	Ega	Ega	fɛ22	fɛ22	f ɛ ²²	egab1234	1159	26.4858945	98.8528962		i n t
1271	153_fart	fart	Jinman	Jinman	fe42	fe42	f e ⁴²	nuji1238	1159	26.4154856	99.1285952		i n t
1272	153_fart	fart	Jinxing	Jinxing	fv31	fv31	f v/ʯ ³¹		1159	24.9259218	103.1237482		i n t
