ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	COGID
771	Zhoucheng	classifier [room]	kɛ55	kɛ55	k ɛ ⁵⁵	896	i n t	k ɛ - ⁵⁵	896	119
772	Mazhelong	classifier [room]	kɚ̃55	kɚ̃55	k ɚ/ə̃ ⁵⁵	896	i n t	k ɚ/ə̃ - ⁵⁵	896	119
699	ProtoBai	classifier [sack of rice]	noŋ1b	noŋ1b	n o ŋ 1b/¹	907	i n c t	n o ŋ 1b/¹	907	120
700	Tuoluo	classifier [sack of rice]	noŋ35	noŋ35	n o ŋ ³⁵	907	i n c t	n o ŋ ³⁵	907	120
701	Gongxing	classifier [sack of rice]	nõ12	nõ12	n õ ¹²	907	i n t	n õ - ¹²	907	120
702	Enqi	classifier [sack of rice]	no21	no21	n o ²¹	907	i n t	n o - ²¹	907	120
703	Ega	classifier [sack of rice]	nõ21	nõ21	n õ ²¹	907	i n t	n õ - ²¹	907	120
704	Jinman	classifier [sack of rice]	nõ21	nõ21	n õ ²¹	907	i n t	n õ - ²¹	907	120
705	Zhoucheng	classifier [sack of rice]	ɲo21	ɲo21	ɲ o ²¹	907	i n t	ɲ o - ²¹	907	120
706	Mazhelong	classifier [sack of rice]	noŋ21	noŋ21	n o ŋ ²¹	907	i n c t	n o ŋ ²¹	907	120
773	ProtoBai	classifier [sheet of paper]	troŋ1	troŋ1	ʈ o ŋ ¹	916	i n c t	ʈ - o ŋ ¹	916	121
774	Tuoluo	classifier [sheet of paper]	tioŋ55	tioŋ55	t i/j o ŋ ⁵⁵	916	i m n c t	t i/j o ŋ ⁵⁵	916	121
775	Gongxing	classifier [sheet of paper]	tsoŋ12	tsoŋ12	ts o ŋ ¹²	916	i n c t	ts - o ŋ ¹²	916	121
776	Enqi	classifier [sheet of paper]	tio24	tio24	t i/j o ²⁴	916	i m n t	t i/j o - ²⁴	916	121
777	Ega	classifier [sheet of paper]	(sy55qa42qa42)	sy55qa42qa42	s y ⁵⁵ + q a ⁴² + q a ⁴²	916 917 918	i n t + i n t + i n t	s - y - ⁵⁵ + q a ⁴² + q a ⁴²	916 917 918	121
778	Jinman	classifier [sheet of paper]	ʈõ55	ʈõ55	ʈ õ ⁵⁵	916	i n t	ʈ - õ - ⁵⁵	916	121
779	Jinxing	classifier [sheet of paper]	tsõ55	tsõ55	ts õ ⁵⁵	916	i n t	ts - õ - ⁵⁵	916	121
780	Dashi	classifier [sheet of paper]	tʂõ	tʂõ	ʈʂ õ	916	i n	ʈʂ - õ - -	916	121
781	Zhoucheng	classifier [sheet of paper]	tsou35	tsou35	ts ou ³⁵	916	i n t	ts - ou - ³⁵	916	121
782	Mazhelong	classifier [sheet of paper]	tsoŋ55	tsoŋ55	ts o ŋ ⁵⁵	916	i n c t	ts - o ŋ ⁵⁵	916	121
783	ProtoBai	classifier [tree]	drɯ3	drɯ3	d r ɯ ³	929	i m n t	d r ɯ ³	929	122
784	Tuoluo	classifier [tree]	diɯ21	diɯ21	d i/j ɯ ²¹	929	i m n t	d i/j ɯ ²¹	929	122
785	Gongxing	classifier [tree]	dʐi42	dʐi42	ɖʐ i ⁴²	929	i n t	ɖʐ - i ⁴²	929	122
786	Enqi	classifier [tree]	diɯ43	diɯ43	d i/j ɯ ⁴³	929	i m n t	d i/j ɯ ⁴³	929	122
787	Ega	classifier [tree]	dʑi42	dʑi42	dʑ i ⁴²	929	i n t	dʑ - i ⁴²	929	122
788	Jinman	classifier [tree]	ɖɯ42	ɖɯ42	ɖ ɯ ⁴²	929	i n t	ɖ - ɯ ⁴²	929	122
789	Jinxing	classifier [tree]	tsɯ31	tsɯ31	ts ɯ ³¹	929	i n t	ts - ɯ ³¹	929	122
790	Dashi	classifier [tree]	tʂɯ31	tʂɯ31	ʈʂ ɯ ³¹	929	i n t	ʈʂ - ɯ ³¹	929	122
791	Zhoucheng	classifier [tree]	tsɯ31	tsɯ31	ts ɯ ³¹	929	i n t	ts - ɯ ³¹	929	122
792	Mazhelong	classifier [tree]	dzǝɯ21	dzǝɯ21	dz əɯ ²¹	929	i n t	dz - əɯ ²¹	929	122
793	ProtoBai	classifier [weight unit]	noŋ3	noŋ3	n o ŋ ³	940	i n c t	n o ŋ ³	940	123
794	Tuoluo	classifier [weight unit]	liaŋ33	liaŋ33	l i/j a ŋ ³³	941	i m n c t	l i/j a ŋ ³³	941	124
795	Gongxing	classifier [weight unit]	ɲo43	ɲo43	ɲ o ⁴³	940	i n t	ɲ o - ⁴³	940	123
796	Enqi	classifier [weight unit]	no42	no42	n o ⁴²	940	i n t	n o - ⁴²	940	123
797	Ega	classifier [weight unit]	nõ42	nõ42	n õ ⁴²	940	i n t	n õ - ⁴²	940	123
798	Jinman	classifier [weight unit]	nõ42	nõ42	n õ ⁴²	940	i n t	n õ - ⁴²	940	123
799	Zhoucheng	classifier [weight unit]	ɲo21	ɲo21	ɲ o ²¹	940	i n t	ɲ o - ²¹	940	123
800	Mazhelong	classifier [weight unit]	noŋ21	noŋ21	n o ŋ ²¹	940	i n c t	n o ŋ ²¹	940	123
801	ProtoBai	cliffy; precipitous	pʰræ1	pʰræ1	pʰ r æ ¹	949	i m n t	pʰ r æ ¹	3824	125
802	Tuoluo	cliffy; precipitous	tʂua55	tʂua55	ʈʂ u/w a ⁵⁵	951	i m n t	ʈʂ u/w a - ⁵⁵	951	127
803	Gongxing	cliffy; precipitous	tʂuen55	tʂuen55	ʈʂ u/w e n ⁵⁵	951	i m n c t	ʈʂ u/w e n ⁵⁵	951	127
804	Enqi	cliffy; precipitous	pʰiæ24	pʰiæ24	pʰ i/j æ ²⁴	949	i m n t	pʰ i/j æ ²⁴	3824	125
805	Ega	cliffy; precipitous	tɕya55	tɕya55	tɕ y a ⁵⁵	950	i m n t	tɕ y a ⁵⁵	950	126
806	Jinman	cliffy; precipitous	tɕya55	tɕya55	tɕ y a ⁵⁵	950	i m n t	tɕ y a ⁵⁵	950	126
807	Jinxing	cliffy; precipitous	pʰiɛ55	pʰiɛ55	pʰ i/j ɛ ⁵⁵	949	i m n t	pʰ i/j ɛ ⁵⁵	3824	125
808	Dashi	cliffy; precipitous	pʰiɚ55	pʰiɚ55	pʰ i/j ɚ/ə ⁵⁵	949	i m n t	pʰ i/j ɚ/ə ⁵⁵	3824	125
809	Zhoucheng	cliffy; precipitous	pʰiɛ55	pʰiɛ55	pʰ i/j ɛ ⁵⁵	949	i m n t	pʰ i/j ɛ ⁵⁵	3824	125
810	Mazhelong	cliffy; precipitous	[tǝɯ21]	tǝɯ21	t əɯ ²¹	952	i n t	t əɯ ²¹	952	128
811	ProtoBai	close (the mouth)	me1a	me1a	m e 1a/¹	960	i n t	m e 1a/¹	971	129
812	Tuoluo	close (the mouth)	mi55	mi55	m i ⁵⁵	960	i n t	m i ⁵⁵	971	129
813	Gongxing	close (the mouth)	mi55	mi55	m i ⁵⁵	960	i n t	m i ⁵⁵	971	129
814	Enqi	close (the mouth)	mi24	mi24	m i ²⁴	960	i n t	m i ²⁴	971	129
815	Ega	close (the mouth)	ɲyi55	ɲyi55	ɲ y/ɥ i ⁵⁵	961	i m n t	ɲ y/ɥ i ⁵⁵	961	130
816	Jinman	close (the mouth)	mi55	mi55	m i ⁵⁵	960	i n t	m i ⁵⁵	971	129
817	Jinxing	close (the mouth)	me55	me55	m e ⁵⁵	960	i n t	m e ⁵⁵	971	129
818	Dashi	close (the mouth)	me35	me35	m e ³⁵	960	i n t	m e ³⁵	971	129
819	Zhoucheng	close (the mouth)	me35	me35	m e ³⁵	960	i n t	m e ³⁵	971	129
820	Mazhelong	close (the mouth)	mi55	mi55	m i ⁵⁵	960	i n t	m i ⁵⁵	971	129
821	ProtoBai	close (the mouth) lightly	me1a	me1a	m e 1a/¹	971	i n t	m e 1a/¹	971	131
822	Tuoluo	close (the mouth) lightly	mi55	mi55	m i ⁵⁵	971	i n t	m i ⁵⁵	971	131
823	Gongxing	close (the mouth) lightly	mi55	mi55	m i ⁵⁵	971	i n t	m i ⁵⁵	971	131
824	Enqi	close (the mouth) lightly	mi24	mi24	m i ²⁴	971	i n t	m i ²⁴	971	131
825	Jinxing	close (the mouth) lightly	me55	me55	m e ⁵⁵	971	i n t	m e ⁵⁵	971	131
826	Dashi	close (the mouth) lightly	me35	me35	m e ³⁵	971	i n t	m e ³⁵	971	131
827	Mazhelong	close (the mouth) lightly	mi55	mi55	m i ⁵⁵	971	i n t	m i ⁵⁵	971	131
828	ProtoBai	cloth	sʰɛ4	sʰɛ4	sʰ ɛ ⁴	979	i n t	sʰ ɛ ⁴	979	132
829	Tuoluo	cloth	sɛ42	sɛ42	s ɛ ⁴²	979	i n t	s ɛ ⁴²	979	132
830	Gongxing	cloth	sɛ24	sɛ24	s ɛ ²⁴	979	i n t	s ɛ ²⁴	979	132
831	Enqi	cloth	sE55	sE55	s ᴇ/ɛ ⁵⁵	979	i n t	s ᴇ/ɛ ⁵⁵	979	132
832	Ega	cloth	sɛ44	sɛ44	s ɛ ⁴⁴	979	i n t	s ɛ ⁴⁴	979	132
833	Jinman	cloth	se55	se55	s e ⁵⁵	979	i n t	s e ⁵⁵	979	132
834	Jinxing	cloth	se44	se44	s e ⁴⁴	979	i n t	s e ⁴⁴	979	132
835	Dashi	cloth	sʰe44	sʰe44	sʰ e ⁴⁴	979	i n t	sʰ e ⁴⁴	979	132
836	Zhoucheng	cloth	(pʰio31)	pʰio31	pʰ i/j o ³¹	980	i m n t	pʰ i/j o ³¹	980	133
837	Mazhelong	cloth	(pʰio21)	pʰio21	pʰ i/j o ²¹	980	i m n t	pʰ i/j o ²¹	980	133
838	ProtoBai	cloud	ŋɔ1b	ŋɔ1b	ŋ ɔ 1b/¹	993	i n t	ŋ ɔ 1b/¹	993	137
839	Tuoluo	cloud	ŋɔ35	ŋɔ35	ŋ ɔ ³⁵	993	i n t	ŋ ɔ ³⁵	993	137
840	Gongxing	cloud	ŋE12	ŋE12	ŋ ᴇ/ɛ ¹²	993	i n t	ŋ ᴇ/ɛ ¹²	993	137
841	Enqi	cloud	ʀæ21	ʀæ21	ʀ æ ²¹	992	i n t	ʀ æ ²¹	992	136
842	Ega	cloud	(mɯ̃121)	mɯ̃121	m ɯ̃ ¹²¹	991	i n t	m ɯ̃ ¹²¹	991	135
843	Jinman	cloud	(mM21)	mM21	m ɯ ²¹	991	i n t	m ɯ ²¹	991	135
844	Jinxing	cloud	ṽ21	ṽ21	ṽ/ʯ̃ ²¹	994	n t	ṽ/ʯ̃ ²¹	994	138
845	Dashi	cloud	võ21	võ21	v õ ²¹	990	i n t	v õ ²¹	990	134
846	Zhoucheng	cloud	v21	v21	v/ʯ ²¹	994	n t	v/ʯ ²¹	994	138
847	Mazhelong	cloud	yen21	yen21	y/ɥ e n ²¹	995	i n c t	y/ɥ e n ²¹	995	139
848	ProtoBai	cold	kɯ1	kɯ1	k ɯ ¹	1001	i n t	k ɯ ¹	1001	140
849	ProtoBai	cold	gæ1	gæ1	g æ ¹	5251	i n t	g æ ¹	5251	140
850	Tuoluo	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001	i n t	k ɯ ⁵⁵	1001	140
851	Gongxing	cold	ga12	ga12	g a ¹²	1001	i n t	g a ¹²	1001	140
852	Enqi	cold	kɯ24	kɯ24	k ɯ ²⁴	1001	i n t	k ɯ ²⁴	1001	140
853	Ega	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001	i n t	k ɯ ⁵⁵	1001	140
854	Jinman	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001	i n t	k ɯ ⁵⁵	1001	140
855	Jinxing	cold	kɯ55(thing)/kɑ21(weather, fɚling)	kɯ55	k ɯ ⁵⁵	1001	i n t	k ɯ ⁵⁵	1001	140
856	Jinxing	cold	kɯ55(thing)/kɑ21(weather, fɚling)	kɑ21	k ɑ ²¹	5250	i n t	k ɑ - ²¹	5250	140
857	Dashi	cold	kɯka21	kɯka21	k ɯ ⁰ + k a ²¹	1001 1002	i n t + i n t	k ɯ ⁰ + k a ²¹	1001 1002	140
858	Zhoucheng	cold	kɯ35	kɯ35	k ɯ ³⁵	1001	i n t	k ɯ ³⁵	1001	140
859	Mazhelong	cold	kɯ55	kɯ55	k ɯ ⁵⁵	1001	i n t	k ɯ ⁵⁵	1001	140
860	ProtoBai	comb	sro1	sro1	s r o ¹	1015	i m n t	s r o ¹	1015	141
861	Tuoluo	comb	ʂv55	ʂv55	ʂ v/ʯ ⁵⁵	1015	i n t	ʂ - v/ʯ ⁵⁵	1015	141
862	Gongxing	comb	sao55	sao55	s ao ⁵⁵	1015	i n t	s - ao ⁵⁵	1015	141
863	Enqi	comb	ɕu24	ɕu24	ɕ u ²⁴	1015	i n t	ɕ - u ²⁴	1015	141
864	Ega	comb	ɕy55	ɕy55	ɕ y ⁵⁵	1015	i n t	ɕ - y ⁵⁵	1015	141
865	Jinman	comb	ɕu55	ɕu55	ɕ u ⁵⁵	1015	i n t	ɕ - u ⁵⁵	1015	141
866	Jinxing	comb	sṽ55	sṽ55	s ṽ/ʯ̃ ⁵⁵	1015	i n t	s - ṽ/ʯ̃ ⁵⁵	1015	141
867	Dashi	comb	ʂ35	ʂ35	ʂ */ə ³⁵	1015	i n t	ʂ - */ə ³⁵	1015	141
868	Zhoucheng	comb	sv35	sv35	s v/ʯ ³⁵	1015	i n t	s - v/ʯ ³⁵	1015	141
869	Mazhelong	comb	su55	su55	s u ⁵⁵	1015	i n t	s - u ⁵⁵	1015	141
870	ProtoBai	compensate	bæ1	bæ1	b æ ¹	1026	i n t	b æ ¹	1026	142
871	Tuoluo	compensate	ba35	ba35	b a ³⁵	1026	i n t	b a ³⁵	1026	142
872	Gongxing	compensate	bæ12	bæ12	b æ ¹²	1026	i n t	b æ ¹²	1026	142
873	Enqi	compensate	pæ21	pæ21	p æ ²¹	1026	i n t	p æ ²¹	1026	142
874	Jinxing	compensate	pa21	pa21	p a ²¹	1026	i n t	p a ²¹	1026	142
875	Dashi	compensate	pɚ21	pɚ21	p ɚ/ə ²¹	1026	i n t	p ɚ/ə ²¹	1026	142
876	Zhoucheng	compensate	pʰǝ42	pʰǝ42	pʰ ə ⁴²	1026	i n t	pʰ ə ⁴²	1026	142
877	Mazhelong	compensate	(tã42)	tã42	t ã ⁴²	1027	i n t	t ã ⁴²	1027	143
878	ProtoBai	cook; boil	tsrɔ2	tsrɔ2	ts r ɔ ²	1035	i m n t	ts r ɔ ²	1035	144
879	Tuoluo	cook; boil	tʂv33	tʂv33	ʈʂ v/ʯ ³³	1035	i n t	ʈʂ - v/ʯ ³³	1035	144
880	Gongxing	cook; boil	tsao22	tsao22	ts ao ²²	1035	i n t	ts - ao ²²	1035	144
881	Enqi	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035	i n t	tɕ - u ²²	1035	144
882	Ega	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035	i n t	tɕ - u ²²	1035	144
883	Jinman	cook; boil	tɕu22	tɕu22	tɕ u ²²	1035	i n t	tɕ - u ²²	1035	144
884	Jinxing	cook; boil	tsv55	tsv55	ts v/ʯ ⁵⁵	1035	i n t	ts - v/ʯ ⁵⁵	1035	144
885	Dashi	cook; boil	tʂo33	tʂo33	ʈʂ o ³³	1035	i n t	ʈʂ - o ³³	1035	144
886	Zhoucheng	cook; boil	tsv33	tsv33	ts v/ʯ ³³	1035	i n t	ts - v/ʯ ³³	1035	144
887	Mazhelong	cook; boil	tsv33	tsv33	ts v/ʯ ³³	1035	i n t	ts - v/ʯ ³³	1035	144
888	ProtoBai	cooking stove; kitchen range	tso5	tso5	ts o ⁵	1046	i n t	ts o ⁵	1046	145
889	Tuoluo	cooking stove; kitchen range	tsu21	tsu21	ts u ²¹	1046	i n t	ts u ²¹	1046	145
890	Gongxing	cooking stove; kitchen range	tsu42	tsu42	ts u ⁴²	1046	i n t	ts u ⁴²	1046	145
891	Enqi	cooking stove; kitchen range	tsu43	tsu43	ts u ⁴³	1046	i n t	ts u ⁴³	1046	145
892	Ega	cooking stove; kitchen range	tsy42	tsy42	ts y ⁴²	1046	i n t	ts y ⁴²	1046	145
893	Jinxing	cooking stove; kitchen range	tsou42	tsou42	ts ou ⁴²	1046	i n t	ts ou ⁴²	1046	145
894	Dashi	cooking stove; kitchen range	tsu42	tsu42	ts u ⁴²	1046	i n t	ts u ⁴²	1046	145
895	Mazhelong	cooking stove; kitchen range	tso42	tso42	ts o ⁴²	1046	i n t	ts o ⁴²	1046	145
896	ProtoBai	copper, bronze	qæn2	qæn2	q æ n ²	1056	i n c t	q æ n ²	1056	147
897	Tuoluo	copper, bronze	qaŋ33	qaŋ33	q a ŋ ³³	1056	i n c t	q a ŋ ³³	1056	147
898	Gongxing	copper, bronze	qan22	qan22	q a n ²²	1056	i n c t	q a n ²²	1056	147
899	Enqi	copper, bronze	qæ22	qæ22	q æ ²²	1056	i n t	q æ - ²²	1056	147
900	Ega	copper, bronze	qa22	qa22	q a ²²	1056	i n t	q a - ²²	1056	147
901	Jinman	copper, bronze	qã22	qã22	q ã ²²	1056	i n t	q ã - ²²	1056	147
902	Jinxing	copper, bronze	[tṽ21]	tṽ21	t ṽ/ʯ̃ ²¹	1055	i n t	t ṽ/ʯ̃ ²¹	1055	146
903	Dashi	copper, bronze	[tõ21]	tõ21	t õ ²¹	1055	i n t	t õ ²¹	1055	146
904	Zhoucheng	copper, bronze	kɛ33	kɛ33	k ɛ ³³	1056	i n t	k ɛ - ³³	1056	147
905	Mazhelong	copper, bronze	kɚ̃33	kɚ̃33	k ɚ/ə̃ ³³	1056	i n t	k ɚ/ə̃ - ³³	1056	147
906	ProtoBai	corpse	tsʰoŋ1	tsʰoŋ1	tsʰ o ŋ ¹	1066	i n c t	tsʰ o ŋ ¹	1066	148
907	Tuoluo	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066	i n c t	tsʰ o ŋ ⁵⁵	1066	148
908	Gongxing	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066	i n c t	tsʰ o ŋ ⁵⁵	1066	148
909	Enqi	corpse	tsʰo24	tsʰo24	tsʰ o ²⁴	1066	i n t	tsʰ o - ²⁴	1066	148
910	Ega	corpse	tsʰo55	tsʰo55	tsʰ o ⁵⁵	1066	i n t	tsʰ o - ⁵⁵	1066	148
911	Jinman	corpse	tsõ55	tsõ55	ts õ ⁵⁵	1066	i n t	ts õ - ⁵⁵	1066	148
912	Mazhelong	corpse	tsʰoŋ55	tsʰoŋ55	tsʰ o ŋ ⁵⁵	1066	i n c t	tsʰ o ŋ ⁵⁵	1066	148
913	ProtoBai	correct; right	hɔ1	hɔ1	h ɔ ¹	1075	i n t	h ɔ ¹	1075	150
914	Tuoluo	correct; right	hɔ55	hɔ55	h ɔ ⁵⁵	1075	i n t	h ɔ ⁵⁵	1075	150
915	Gongxing	correct; right	ho12	ho12	h o ¹²	1075	i n t	h o ¹²	1075	150
916	Enqi	correct; right	χo24	χo24	χ o ²⁴	1074	i n t	χ o ²⁴	1074	149
917	Ega	correct; right	xo55	xo55	x o ⁵⁵	1074	i n t	x o ⁵⁵	1074	149
918	Jinman	correct; right	(kv42)	kv42	k v/ʯ ⁴²	1074	i n t	k v/ʯ ⁴²	1074	149
919	Jinxing	correct; right	xou55	xou55	x ou ⁵⁵	1074	i n t	x ou ⁵⁵	1074	149
920	Dashi	correct; right	xou35	xou35	x ou ³⁵	1074	i n t	x ou ³⁵	1074	149
921	Zhoucheng	correct; right	xo35	xo35	x o ³⁵	1074	i n t	x o ³⁵	1074	149
922	Mazhelong	correct; right	xo55	xo55	x o ⁵⁵	1074	i n t	x o ⁵⁵	1074	149
923	ProtoBai	cry (verb or noun?, should be made clear later on)	qʰɔ4	qʰɔ4	qʰ ɔ ⁴	1086	i n t	qʰ ɔ ⁴	1086	152
924	Tuoluo	cry (verb or noun?, should be made clear later on)	qʰo42	qʰo42	qʰ o ⁴²	1086	i n t	qʰ o ⁴²	1086	152
925	Gongxing	cry (verb or noun?, should be made clear later on)	qʰu224	qʰu224	qʰ u ²²⁴	1086	i n t	qʰ u ²²⁴	1086	152
926	Enqi	cry (verb or noun?, should be made clear later on)	qʰu55	qʰu55	qʰ u ⁵⁵	1086	i n t	qʰ u ⁵⁵	1086	152
927	Ega	cry (verb or noun?, should be made clear later on)	qʰu44	qʰu44	qʰ u ⁴⁴	1086	i n t	qʰ u ⁴⁴	1086	152
928	Jinman	cry (verb or noun?, should be made clear later on)	qʰo55	qʰo55	qʰ o ⁵⁵	1086	i n t	qʰ o ⁵⁵	1086	152
929	Jinxing	cry (verb or noun?, should be made clear later on)	kʰou44	kʰou44	kʰ ou ⁴⁴	1086	i n t	kʰ ou ⁴⁴	1086	152
930	Dashi	cry (verb or noun?, should be made clear later on)	mɚ31	mɚ31	m ɚ/ə ³¹	1085	i n t	m ɚ/ə ³¹	1085	151
931	Zhoucheng	cry (verb or noun?, should be made clear later on)	kʰɑ44	kʰɑ44	kʰ ɑ ⁴⁴	1086	i n t	kʰ ɑ ⁴⁴	1086	152
932	Mazhelong	cry (verb or noun?, should be made clear later on)	kʰo44	kʰo44	kʰ o ⁴⁴	1086	i n t	kʰ o ⁴⁴	1086	152
933	ProtoBai	curved; crooked; bent	kʰo4	kʰo4	kʰ o ⁴	1097	i n t	kʰ o ⁴	1097	154
934	Tuoluo	curved; crooked; bent	kʰv42	kʰv42	kʰ v/ʯ ⁴²	1097	i n t	kʰ v/ʯ ⁴²	1097	154
935	Gongxing	curved; crooked; bent	kʰao24	kʰao24	kʰ ao ²⁴	1097	i n t	kʰ ao ²⁴	1097	154
936	Enqi	curved; crooked; bent	kʰo55	kʰo55	kʰ o ⁵⁵	1097	i n t	kʰ o ⁵⁵	1097	154
937	Ega	curved; crooked; bent	kʰu44	kʰu44	kʰ u ⁴⁴	1097	i n t	kʰ u ⁴⁴	1097	154
938	Jinman	curved; crooked; bent	kɯ55	kɯ55	k ɯ ⁵⁵	1097	i n t	k ɯ ⁵⁵	1097	154
939	Jinxing	curved; crooked; bent	kʰv44	kʰv44	kʰ v/ʯ ⁴⁴	1097	i n t	kʰ v/ʯ ⁴⁴	1097	154
940	Dashi	curved; crooked; bent	[uen35]	uen35	u/w e n ³⁵	1096	i n c t	u/w e n ³⁵	1096	153
941	Zhoucheng	curved; crooked; bent	kʰv44	kʰv44	kʰ v/ʯ ⁴⁴	1097	i n t	kʰ v/ʯ ⁴⁴	1097	154
942	Mazhelong	curved; crooked; bent	kʰu55	kʰu55	kʰ u ⁵⁵	1097	i n t	kʰ u ⁵⁵	1097	154
943	ProtoBai	cut (meat)	sʰræ4	sʰræ4	sʰ r æ ⁴	1107	i m n t	sʰ r æ ⁴	1107	155
944	Tuoluo	cut (meat)	ɕa42	ɕa42	ɕ a ⁴²	1107	i n t	ɕ - a ⁴²	1107	155
945	Gongxing	cut (meat)	sæ24	sæ24	s æ ²⁴	1107	i n t	s - æ ²⁴	1107	155
946	Enqi	cut (meat)	ɕiæ55	ɕiæ55	ɕ i/j æ ⁵⁵	1107	i m n t	ɕ i/j æ ⁵⁵	1107	155
947	Ega	cut (meat)	ɕa44	ɕa44	ɕ a ⁴⁴	1107	i n t	ɕ - a ⁴⁴	1107	155
948	Jinman	cut (meat)	ɕa55qa21	ɕa55qa21	ɕ a ⁵⁵ + q a ²¹	1107 1108	i n t + i n t	ɕ - a ⁵⁵ + q a ²¹	1107 1108	155
949	Jinxing	cut (meat)	sa44	sa44	s a ⁴⁴	1107	i n t	s - a ⁴⁴	1107	155
950	Dashi	cut (meat)	ʂʰɚ44	ʂʰɚ44	ʂʰ ɚ/ə ⁴⁴	1107	i n t	ʂʰ - ɚ/ə ⁴⁴	1107	155
951	Zhoucheng	cut (meat)	sɛ44	sɛ44	s ɛ ⁴⁴	1107	i n t	s - ɛ ⁴⁴	1107	155
952	Mazhelong	cut (meat)	sɚ44	sɚ44	s ɚ/ə ⁴⁴	1107	i n t	s - ɚ/ə ⁴⁴	1107	155
953	ProtoBai	cut up (vegetable)	tsʰuaŋ2	tsʰuaŋ2	tsʰ u/w a ŋ ²	1119	i m n c t	tsʰ u/w a ŋ ²	1119	156
954	Tuoluo	cut up (vegetable)	tsʰoŋ33	tsʰoŋ33	tsʰ o ŋ ³³	1119	i n c t	tsʰ - o ŋ ³³	1119	156
955	Gongxing	cut up (vegetable)	tsʰuaŋ22	tsʰuaŋ22	tsʰ u/w a ŋ ²²	1119	i m n c t	tsʰ u/w a ŋ ²²	1119	156
956	Enqi	cut up (vegetable)	tcʰyE22	tcʰyE22	tɕʰ y/ɥ ᴇ/ɛ ²²	1119	i m n t	tɕʰ y/ɥ ᴇ/ɛ - ²²	1119	156
957	Ega	cut up (vegetable)	(ɕa44)	ɕa44	ɕ a ⁴⁴	1120	i n t	ɕ a ⁴⁴	1120	157
958	Jinman	cut up (vegetable)	(ɕu44)	ɕu44	ɕ u ⁴⁴	1120	i n t	ɕ u ⁴⁴	1120	157
959	Jinxing	cut up (vegetable)	tsʰuɑ̃33	tsʰuɑ̃33	tsʰ u/w ɑ̃ ³³	1119	i m n t	tsʰ u/w ɑ̃ - ³³	1119	156
960	Dashi	cut up (vegetable)	tsʰuã33	tsʰuã33	tsʰ u/w ã ³³	1119	i m n t	tsʰ u/w ã - ³³	1119	156
961	Zhoucheng	cut up (vegetable)	tsʰua33	tsʰua33	tsʰ u/w a ³³	1119	i m n t	tsʰ u/w a - ³³	1119	156
962	Mazhelong	cut up (vegetable)	tsʰuen33	tsʰuen33	tsʰ u/w e n ³³	1119	i m n c t	tsʰ u/w e n ³³	1119	156
963	ProtoBai	cut/rip open	pʰæ4	pʰæ4	pʰ æ ⁴	1130	i n t	pʰ æ ⁴	1130	158
964	Tuoluo	cut/rip open	pʰa42	pʰa42	pʰ a ⁴²	1130	i n t	pʰ a ⁴²	1130	158
965	Gongxing	cut/rip open	pʰæ24	pʰæ24	pʰ æ ²⁴	1130	i n t	pʰ æ ²⁴	1130	158
966	Enqi	cut/rip open	pʰæ44	pʰæ44	pʰ æ ⁴⁴	1130	i n t	pʰ æ ⁴⁴	1130	158
967	Ega	cut/rip open	tɕyi21tʰo55	tɕyi21tʰo55	tɕ y/ɥ i ²¹ + tʰ o ⁵⁵	1131 1132	i m n t + i n t	tɕ y/ɥ i ²¹ + tʰ o ⁵⁵	1131 1132	159
968	Jinman	cut/rip open	ɕa455pʰo42	ɕa455pʰo42	ɕ a 455/⁵⁵ + pʰ o ⁴²	1133 1130	i n t + i n t	ɕ a 455/⁵⁵ + pʰ o ⁴²	1133 1130	158
969	Jinxing	cut/rip open	pʰa44	pʰa44	pʰ a ⁴⁴	1130	i n t	pʰ a ⁴⁴	1130	158
970	Dashi	cut/rip open	pʰou33	pʰou33	pʰ ou ³³	1130	i n t	pʰ ou ³³	1130	158
971	Zhoucheng	cut/rip open	pʰɛ33	pʰɛ33	pʰ ɛ ³³	1130	i n t	pʰ ɛ ³³	1130	158
972	Mazhelong	cut/rip open	pʰɚ44	pʰɚ44	pʰ ɚ/ə ⁴⁴	1130	i n t	pʰ ɚ/ə ⁴⁴	1130	158
973	ProtoBai	dark	χɯ4	χɯ4	χ ɯ ⁴	1143	i n t	χ ɯ ⁴	1143	160
974	Tuoluo	dark	[xɚ42]	xɚ42	x ɚ/ə ⁴²	1143	i n t	x ɚ/ə ⁴²	1143	160
975	Gongxing	dark	χe24	χe24	χ e ²⁴	1143	i n t	χ e ²⁴	1143	160
976	Ega	dark	xɯ44	xɯ44	x ɯ ⁴⁴	1143	i n t	x ɯ ⁴⁴	1143	160
